Game,	Server,	Faction
Diablo Immortal,	SA-Portuguese,	Blunderbore
Diablo Immortal,	SA-Portuguese,	Elzix
Diablo Immortal,	SA-Portuguese,	Flavie
Diablo Immortal,	SA-Portuguese,	Gorgothra
Diablo Immortal,	SA-Portuguese,	Izilech
Diablo Immortal,	SA-Portuguese,	Jondo
Diablo Immortal,	SA-Portuguese,	Morlu
Diablo Immortal,	SA-Portuguese,	Not Listed - Message Seller
Diablo Immortal,	SA-Portuguese,	Oza
Diablo Immortal,	SA-Portuguese,	Torajan
Diablo Immortal,	SA-Portuguese,	Vidian
Diablo Immortal,	SA-Portuguese,	Xul
Diablo Immortal,	SA-Spanish,	Bul-Kathos
Diablo Immortal,	SA-Spanish,	Mephisto
Diablo Immortal,	SA-Spanish,	Navair
Diablo Immortal,	SA-Spanish,	Not Listed - Message Seller
Diablo Immortal,	SA-Spanish,	Rathma
Diablo Immortal,	SA-Spanish,	Viz-jaq'taar
Diablo Immortal,	SA-Spanish,	Viz-Jun
Digimon Masters Online,	Barbamon
Digimon Masters Online,	Beelzemon
Digimon Masters Online,	Leviamon
Digimon Masters Online,	Lilithmon
Digimon Masters Online,	Lucemon
Digimon Masters Online,	Omegamon
Digimon Masters Online,	Seraphimon
Dofus,	Boune
Dofus,	Crail
Dofus,	Draconiros
Dofus,	Dramak
Dofus,	Eratz
Dofus,	Fraktal 
Dofus,	Galgarion
Dofus,	Ganymède
Dofus,	Hellmina
Dofus,	Henual
Dofus,	Imagiro
Dofus,	Lacrima
Dofus,	Nevark
Dofus,	Ombre
Dofus,	Orukam
Dofus,	Oto Mustam
Dofus,	Pandore
Dofus,	Razad
Dofus,	Ruliet
Dofus,	Talkasha
Dofus,	Tylezia
Dofus Touch,	Brutas
Dofus Touch,	Dodge
Dofus Touch,	Epsilon
Dofus Touch,	Epsilon-2
Dofus Touch,	Epsilon-3
Dofus Touch,	Grandapan
Dofus Touch,	Herdegrize
Dofus Touch,	Oshimo
Dofus Touch,	Talok
Dofus Touch,	Talok-2
Dofus Touch,	Talok-3
Dofus Touch,	Talok-4
Dofus Touch,	Talok-5
Dofus Touch,	Talok-6
Dofus Touch,	Terra Cogita
Dofus Touch,	Tiliwan
Dofus Touch,	Tiliwan-2
Dofus Touch,	Tiliwan-3
Dofus Touch,	Tiliwan-4
Dofus Touch,	Tiliwan-5
Dofus Touch,	Tiliwan-6
Dofus Touch,	Tiliwan-7
Dragon Nest,	1-Desmodeus
Dragon Nest,	Argenta
Dragon Nest,	Black Aorn
Dragon Nest,	Blue Eye
Dragon Nest,	Elena
Dragon Nest,	Gerrant
Dragon Nest,	Green Blood
Dragon Nest,	Leviatha
Dragon Nest,	RAJUUL
Dragon Nest,	Red Claw
Dragon Nest,	Reef-SEA
Dragon Nest,	Velskud
Dragon Nest,	White Wing
Dragon Raja: Origin,	埃爾普里登
Dragon Raja: Origin,	奧賽羅
Dragon Raja: Origin,	加倫西亞
Dragon Raja: Origin,	札伊諾
Dual Universe,	Global
Dungeon Fighter Online,	NA-East
Dungeon Fighter Online,	NA-West
Dungeonborne,	Main Server
Dungeons and Dragons,	EU-Devourer
Dungeons and Dragons,	EU-Keeper
Dungeons and Dragons,	NA-Argonnessen
Dungeons and Dragons,	NA-Cannith
Dungeons and Dragons,	NA-Ghallanda
Dungeons and Dragons,	NA-Khyber
Dungeons and Dragons,	NA-Orien
Dungeons and Dragons,	NA-Sarlona
Dungeons and Dragons,	NA-Thelanis
EA FC - FIFA,	FC 24,	PC
EA FC - FIFA,	FC 24,	PS4/PS5
EA FC - FIFA,	FC 24,	Switch
EA FC - FIFA,	FC 24,	Xbox One
EA FC - FIFA,	FC 24,	Xbox Series
EA FC - FIFA,	FC 25,	PC
EA FC - FIFA,	FC 25,	PlayStation
EA FC - FIFA,	FC 25,	Xbox
EA FC - FIFA,	FIFA 23,	PC
EA FC - FIFA,	FIFA 23,	PS4/PS5
EA FC - FIFA,	FIFA 23,	Switch
EA FC - FIFA,	FIFA 23,	Xbox One
EA FC - FIFA,	FIFA 23,	Xbox Series
EA FC Mobile,	Android
EA FC Mobile,	IOS
EA Sports College Football,	College Football 25,	PlayStation
EA Sports College Football,	College Football 25,	Xbox
Elden Ring,	PC
Elden Ring,	PlayStation
Elden Ring,	Xbox
Elder Scrolls Online,	PC-Europe
Elder Scrolls Online,	PC-North America
Elder Scrolls Online,	PS4/5-Europe
Elder Scrolls Online,	PS4/5-North America
Elder Scrolls Online,	Xbox One/X/S-Europe
Elder Scrolls Online,	Xbox One/X/S-North America
Elite:Dangerous,	PC
Elite:Dangerous,	PS4
Elite:Dangerous,	Xbox One
Elsword Online,	1-Solace-US
Elsword Online,	2-Solace-BR
Elsword Online,	3-Solace-DE
Elsword Online,	4-Solace-ES
Elsword Online,	5-Solace-FR
Elsword Online,	6-Solace-IT
Elsword Online,	7-Solace-PL
